location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664576,2025-05-19T19:13:03.664581,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664587,2025-05-19T19:13:03.664589,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664593,2025-05-19T19:13:03.664595,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664598,2025-05-19T19:13:03.664600,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664604,2025-05-19T19:13:03.664605,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664609,2025-05-19T19:13:03.664611,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664614,2025-05-19T19:13:03.664616,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664620,2025-05-19T19:13:03.664621,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664625,2025-05-19T19:13:03.664626,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,no2,25.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-19T23:13:03.664630,2025-05-19T19:13:03.664632,London,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
