location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503399,2025-05-19T22:16:15.503402,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503406,2025-05-19T22:16:15.503407,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503411,2025-05-19T22:16:15.503412,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503440,2025-05-19T22:16:15.503442,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503446,2025-05-19T22:16:15.503447,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503450,2025-05-19T22:16:15.503451,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503455,2025-05-19T22:16:15.503456,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503459,2025-05-19T22:16:15.503460,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503463,2025-05-19T22:16:15.503464,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
London Downtown,o3,45.0,ppb,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.503467,2025-05-19T22:16:15.503468,London,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",51.51,-0.13,Downtown
