location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502200,2025-05-19T22:16:15.502204,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502208,2025-05-19T22:16:15.502209,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502212,2025-05-19T22:16:15.502213,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502216,2025-05-19T22:16:15.502217,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502220,2025-05-19T22:16:15.502221,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502224,2025-05-19T22:16:15.502225,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502229,2025-05-19T22:16:15.502229,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502233,2025-05-19T22:16:15.502233,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502237,2025-05-19T22:16:15.502238,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
London Downtown,pm25,35.0,µg/m³,Dummy Data Generator,51.51,-0.13,2025-05-20T02:16:15.502241,2025-05-19T22:16:15.502242,London,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",51.51,-0.13,Downtown
