location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656459,2025-05-19T19:13:03.656464,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656469,2025-05-19T19:13:03.656471,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656475,2025-05-19T19:13:03.656476,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656480,2025-05-19T19:13:03.656482,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656486,2025-05-19T19:13:03.656487,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656491,2025-05-19T19:13:03.656493,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656497,2025-05-19T19:13:03.656498,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656502,2025-05-19T19:13:03.656504,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656507,2025-05-19T19:13:03.656509,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656513,2025-05-19T19:13:03.656515,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
