location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653972,2025-05-19T19:13:03.653980,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653988,2025-05-19T19:13:03.653990,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653996,2025-05-19T19:13:03.653998,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654003,2025-05-19T19:13:03.654005,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654009,2025-05-19T19:13:03.654011,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654016,2025-05-19T19:13:03.654018,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654022,2025-05-19T19:13:03.654024,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654029,2025-05-19T19:13:03.654031,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654035,2025-05-19T19:13:03.654037,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654041,2025-05-19T19:13:03.654043,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
