location,parameter,value,unit,sourcename,coordinates_latitude,coordinates_longitude,date_utc,date_local,city,aqi,aqi_category,health_recommendation,latitude,longitude,district
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653972,2025-05-19T19:13:03.653980,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653988,2025-05-19T19:13:03.653990,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.653996,2025-05-19T19:13:03.653998,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654003,2025-05-19T19:13:03.654005,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654009,2025-05-19T19:13:03.654011,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654016,2025-05-19T19:13:03.654018,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654022,2025-05-19T19:13:03.654024,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654029,2025-05-19T19:13:03.654031,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654035,2025-05-19T19:13:03.654037,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,pm25,35.0,µg/m³,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.654041,2025-05-19T19:13:03.654043,New York,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656459,2025-05-19T19:13:03.656464,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656469,2025-05-19T19:13:03.656471,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656475,2025-05-19T19:13:03.656476,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656480,2025-05-19T19:13:03.656482,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656486,2025-05-19T19:13:03.656487,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656491,2025-05-19T19:13:03.656493,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656497,2025-05-19T19:13:03.656498,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656502,2025-05-19T19:13:03.656504,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656507,2025-05-19T19:13:03.656509,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,o3,45.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.656513,2025-05-19T19:13:03.656515,New York,42,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658785,2025-05-19T19:13:03.658790,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658795,2025-05-19T19:13:03.658797,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658801,2025-05-19T19:13:03.658802,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658806,2025-05-19T19:13:03.658807,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658811,2025-05-19T19:13:03.658813,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658817,2025-05-19T19:13:03.658818,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658822,2025-05-19T19:13:03.658823,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658827,2025-05-19T19:13:03.658829,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658832,2025-05-19T19:13:03.658834,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-19T23:13:03.658838,2025-05-19T19:13:03.658839,New York,24,Good,"Air quality is satisfactory, and air pollution poses little or no risk.",40.71,-74.01,Downtown
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638815,2025-05-19T19:13:03.638830,Los Angeles,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",34.05,-118.24,Downtown
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638847,2025-05-19T19:13:03.638850,Los Angeles,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",34.05,-118.24,Downtown
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638858,2025-05-19T19:13:03.638860,Los Angeles,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",34.05,-118.24,Downtown
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638866,2025-05-19T19:13:03.638869,Los Angeles,99,Moderate,"Air quality is acceptable. However, there may be a risk for some people, particularly those who are unusually sensitive to air pollution.",34.05,-118.24,Downtown
