location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495015,2025-05-19T22:16:15.495018
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495022,2025-05-19T22:16:15.495024
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495027,2025-05-19T22:16:15.495028
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495031,2025-05-19T22:16:15.495032
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495035,2025-05-19T22:16:15.495036
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495039,2025-05-19T22:16:15.495040
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495044,2025-05-19T22:16:15.495045
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495048,2025-05-19T22:16:15.495049
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495052,2025-05-19T22:16:15.495053
Los Angeles Downtown,no2,25.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.495056,2025-05-19T22:16:15.495057
