location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493336,2025-05-19T22:16:15.493341
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493347,2025-05-19T22:16:15.493349
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493352,2025-05-19T22:16:15.493353
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493357,2025-05-19T22:16:15.493358
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493361,2025-05-19T22:16:15.493362
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493365,2025-05-19T22:16:15.493366
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493369,2025-05-19T22:16:15.493370
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493404,2025-05-19T22:16:15.493408
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493415,2025-05-19T22:16:15.493416
Los Angeles Downtown,o3,45.0,ppb,Dummy Data Generator,34.05,-118.24,2025-05-20T02:16:15.493420,2025-05-19T22:16:15.493421
