location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638815,2025-05-19T19:13:03.638830
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638847,2025-05-19T19:13:03.638850
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638858,2025-05-19T19:13:03.638860
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638866,2025-05-19T19:13:03.638869
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638875,2025-05-19T19:13:03.638877
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638883,2025-05-19T19:13:03.638885
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638891,2025-05-19T19:13:03.638893
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638899,2025-05-19T19:13:03.638901
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638908,2025-05-19T19:13:03.638910
Los Angeles Downtown,pm25,35.0,µg/m³,Dummy Data Generator,34.05,-118.24,2025-05-19T23:13:03.638916,2025-05-19T19:13:03.638918
