location,parameter,value,unit,sourceName,coordinates.latitude,coordinates.longitude,date.utc,date.local
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500793,2025-05-19T22:16:15.500800
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500806,2025-05-19T22:16:15.500808
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500812,2025-05-19T22:16:15.500813
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500816,2025-05-19T22:16:15.500817
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500821,2025-05-19T22:16:15.500822
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500826,2025-05-19T22:16:15.500827
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500831,2025-05-19T22:16:15.500832
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500836,2025-05-19T22:16:15.500837
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500840,2025-05-19T22:16:15.500841
New York Downtown,no2,25.0,ppb,Dummy Data Generator,40.71,-74.01,2025-05-20T02:16:15.500844,2025-05-19T22:16:15.500846
